,address,lat,long
743,107 TOWNER RD,1.319795086,103.8604358
5543,107 WOODLANDS ST 13,1.437298432,103.7822271
1049,107 YISHUN RING RD,1.432218076,103.8275202
9594,107A CANBERRA ST,1.449904746,103.8329792
8081,107A EDGEFIELD PLAINS,1.397198794,103.9068258
9593,107B CANBERRA ST,1.449165163,103.8334973
7929,107B EDGEFIELD PLAINS,1.396837235,103.9072482
9595,107C CANBERRA ST,1.448557823,103.8338648
7965,107C EDGEFIELD PLAINS,1.396621521,103.9076007
7966,107D EDGEFIELD PLAINS,1.396239822,103.9080073
506,108 ALJUNIED CRES,1.319012761,103.8851688
1510,108 ANG MO KIO AVE 4,1.37094274,103.8379748
2249,108 BEDOK NTH RD,1.332740092,103.9362235
2366,108 BEDOK RESERVOIR RD,1.330231922,103.909387
2557,108 BISHAN ST 12,1.346714989,103.8473984
1205,108 BT BATOK WEST AVE 6,1.347443853,103.7465021
2394,108 BT PURMEI RD,1.273357314,103.8253458
1395,108 C'WEALTH CRES,1.30754732,103.7990886
3565,108 GANGSA RD,1.377596852,103.7672272
6068,108 HOUGANG AVE 1,1.352773933,103.8900932
328,108 JLN BT MERAH,1.279220088,103.8254414
2191,108 JLN RAJAH,1.328389357,103.8557509
1668,108 JURONG EAST ST 13,1.33828124,103.7370147
3854,108 LENGKONG TIGA,1.32456371,103.910131
2069,108 LOR 1 TOA PAYOH,1.341552529,103.8472951
3545,108 MCNAIR RD,1.321619038,103.8593827
3996,108 PASIR RIS ST 12,1.367478779,103.9570177
1460,108 POTONG PASIR AVE 1,1.334720043,103.8679284
7072,108 RIVERVALE WALK,1.382811686,103.8997829
853,108 SERANGOON NTH AVE 1,1.369901403,103.8712068
3779,108 SIMEI ST 1,1.343019541,103.9510074
1776,108 TAMPINES ST 11,1.347866464,103.9485616
4254,108 TECK WHYE LANE,1.378324137,103.7529508
2722,108 WOODLANDS ST 13,1.437219087,103.7815768
8373,108 YISHUN RING RD,1.432323551,103.829072
9612,108A CANBERRA WALK,1.447760566,103.8312747
9609,108B CANBERRA WALK,1.448189517,103.8318569
8047,108B MCNAIR RD,1.319981244,103.8590051
9610,108C CANBERRA WALK,1.447353301,103.8317962
7955,108C MCNAIR RD,1.319844175,103.8594625
1281,109 ALJUNIED CRES,1.319392918,103.8844399
1862,109 ANG MO KIO AVE 4,1.370096538,103.8376878
1544,109 BEDOK NTH RD,1.33205316,103.9349351
2362,109 BEDOK RESERVOIR RD,1.329631366,103.9099022
2556,109 BISHAN ST 12,1.346750596,103.8479902
8381,109 BT BATOK WEST AVE 6,1.347003767,103.7461704
2834,109 BT PURMEI RD,1.273929399,103.8253108
2031,109 C'WEALTH CRES,1.307249431,103.7989383
7708,109 CLEMENTI ST 11,1.321891018,103.7705953
