,town_geocode
399,"('1.30624722914968', '103.849956033902')"
400,"('1.28236449613222', '103.843448181669')"
401,"('1.30775082189872', '103.855203622089')"
402,"('1.30606601392047', '103.854501603493')"
403,"('1.30570669675965', '103.854943251549')"
404,"('1.30778051437061', '103.856495249944')"
405,"('1.38253882861956', '103.751710905678')"
406,"('1.38193929484651', '103.752806721707')"
407,"('1.38047055057828', '103.755211075265')"
408,"('1.37842710387364', '103.754911815576')"
409,"('1.37762112372223', '103.755740001262')"
410,"('1.37894634652916', '103.755847939018')"
411,"('1.31623186133299', '103.763939019821')"
412,"('1.31115776641946', '103.761017540932')"
413,"('1.31282069203581', '103.768916989703')"
414,"('1.3122997890586', '103.769943830728')"
415,"('1.31196690928044', '103.7641271807')"
416,"('1.31518502692041', '103.768432708555')"
417,"('1.31306718149221', '103.767339299757')"
418,"('1.31582936905013', '103.767090144326')"
419,"('1.31615298556523', '103.766328328229')"
420,"('1.31443081636431', '103.766358328432')"
421,314 CLEMENTI AVE 4unavailable
422,313 CLEMENTI AVE 4unavailable
423,"('1.31906441748857', '103.763959814303')"
424,"('1.31351386405455', '103.770861088889')"
425,"('1.31456210565181', '103.76253024021')"
426,"('1.31401622928073', '103.761827370554')"
427,"('1.31251696940456', '103.760867377122')"
428,"('1.31165973523805', '103.761761494233')"
429,401 CLEMENTI AVE 1unavailable
430,"('1.316901343761', '103.765310715228')"
431,"('1.32035338974184', '103.765829663835')"
432,"('1.32091981411778', '103.766377598785')"
433,"('1.321415896635', '103.76710548935')"
434,"('1.32206108860648', '103.76601401343')"
435,"('1.32143826057396', '103.765901268051')"
436,"('1.3213294766669', '103.764815932724')"
437,"('1.31701655142406', '103.770055178868')"
438,"('1.31377438724798', '103.762535189721')"
439,"('1.31966316716168', '103.769139839665')"
440,"('1.30838274486859', '103.759784091667')"
441,"('1.30714774352277', '103.759628391282')"
442,"('1.305104400087', '103.766311863504')"
443,"('1.3042359278296', '103.767853404027')"
444,"('1.30434110257324', '103.766529796163')"
445,"('1.30726692567512', '103.761107748856')"
446,"('1.30674896245195', '103.760633580535')"
447,"('1.30634750622019', '103.760538027126')"
448,"('1.30484423498146', '103.76110706384')"
449,"('1.30566420848829', '103.760650698612')"
450,"('1.3041278418713', '103.762206285308')"
451,"('1.30440046544571', '103.762746222568')"
452,"('1.30520206759029', '103.763833368922')"
453,"('1.30676076028652', '103.762363136976')"
454,"('1.30628911866015', '103.76151810816')"
455,"('1.30454704525517', '103.768773617907')"
456,"('1.32368401078529', '103.77013234931')"
457,"('1.31090863920106', '103.77066433167')"
458,"('1.31087920188873', '103.769572621889')"
459,"('1.31847036567508', '103.765419463873')"
460,"('1.31935456047475', '103.7651093416')"
461,"('1.32217649495476', '103.764912144396')"
462,"('1.30409242562108', '103.765522148085')"
463,"('1.30492724290307', '103.763519401903')"
464,"('1.30628748271347', '103.762394965532')"
465,"('1.32057465713359', '103.768211873157')"
466,"('1.3210599628039', '103.762434749863')"
467,"('1.31158107279643', '103.771625045985')"
468,"('1.31098804719696', '103.771585053355')"
469,"('1.31134730442536', '103.771097378247')"
470,"('1.31667943214563', '103.769231150532')"
471,"('1.31605567747075', '103.769112678697')"
472,"('1.30323440870789', '103.762464847394')"
473,"('1.30310124001611', '103.763413053663')"
474,"('1.30360871033936', '103.763359143047')"
475,"('1.32258854750628', '103.769176205799')"
476,"('1.32098588665274', '103.763231689844')"
477,"('1.32014419030202', '103.763253531405')"
478,"('1.32284507823139', '103.770898772473')"
479,"('1.32321605375506', '103.771126100117')"
480,"('1.32354513274251', '103.771328752409')"
481,"('1.32411253933745', '103.771925036203')"
482,"('1.32653264801057', '103.886633644182')"
483,"('1.326222259788', '103.887117045252')"
484,"('1.33216938209876', '103.886296676732')"
485,"('1.32767695905654', '103.886264654446')"
486,1 JLN PASAR BARUunavailable
487,"('1.3171804402937', '103.89833997582')"
488,"('1.32299431214867', '103.904449779612')"
489,"('1.32374151802981', '103.904360289416')"
490,"('1.32427583956643', '103.903205459225')"
491,"('1.32377995139071', '103.902330351336')"
492,"('1.32465648439267', '103.903243112164')"
493,"('1.32503135532498', '103.903282423724')"
494,59 SIMS DRunavailable
495,"('1.31733721505469', '103.878442674183')"
496,"('1.32323310533889', '103.885604601672')"
497,"('1.32265241052434', '103.885755259463')"
498,"('1.32086525583011', '103.885697365861')"
499,"('1.31685532892182', '103.875551269808')"
500,"('1.31830919498771', '103.887754005604')"
501,"('1.30730729862781', '103.889390130934')"
502,"('1.32048087061174', '103.882472846091')"
503,"('1.32138118291427', '103.884306283099')"
504,"('1.31905494962151', '103.882900918125')"
505,"('1.32041804730607', '103.885098713079')"
506,"('1.31901276113362', '103.885168792784')"
507,"('1.30847854465222', '103.882287785645')"
508,"('1.31379131490541', '103.89522868303')"
509,"('1.32740031002016', '103.887203611284')"
510,"('1.32904361761824', '103.887438053241')"
511,"('1.33097096666446', '103.886540431592')"
512,"('1.33119721401346', '103.886976681713')"
513,"('1.30868190843585', '103.887123739313')"
514,"('1.32573742833728', '103.887054329523')"
515,"('1.32584857614009', '103.887926514332')"
516,"('1.32472311721669', '103.886685702383')"
517,"('1.32501466214245', '103.886455988464')"
518,"('1.32577527145564', '103.885703636114')"
519,"('1.32541032458901', '103.88565098487')"
520,"('1.32513240286821', '103.885610754075')"
521,"('1.32742994958168', '103.885681564016')"
522,"('1.32665458025622', '103.886118963317')"
523,"('1.32615469503568', '103.886047023988')"
524,"('1.3279573571198', '103.886080437213')"
525,"('1.32902607919001', '103.88693079734')"
526,"('1.31772915006821', '103.887759947867')"
527,"('1.3218065735396', '103.902776438263')"
528,"('1.32915899694507', '103.886010316123')"
529,"('1.31317618810987', '103.897214949603')"
530,"('1.31817735130958', '103.885425829984')"
531,"('1.31354196455528', '103.895481765493')"
532,"('1.30728534060674', '103.888505580319')"
533,"('1.31807285075693', '103.897087501294')"
534,"('1.31859419589813', '103.899680218483')"
535,"('1.3076509314131', '103.889069356653')"
536,"('1.32268661939564', '103.903500926144')"
537,"('1.36313720753256', '103.893184540903')"
538,"('1.36413097349222', '103.89300132385')"
539,"('1.36778671687043', '103.895530258805')"
540,"('1.36797082875069', '103.894712852589')"
541,"('1.36343443196468', '103.890977580317')"
542,"('1.36383191186374', '103.890737667635')"
543,"('1.35925696781362', '103.887676276425')"
544,"('1.36551226123746', '103.892085472745')"
545,"('1.35276525799641', '103.887876084862')"
546,"('1.35289261537459', '103.886655349716')"
547,"('1.35240984227777', '103.886491570367')"
548,"('1.35356905255693', '103.888705665044')"
549,"('1.35290845840879', '103.888972338303')"
550,"('1.35532858945575', '103.889376316331')"
551,"('1.35465808509334', '103.889546232338')"
552,"('1.36572843966135', '103.896620216828')"
553,"('1.36566360773212', '103.896194709398')"
554,"('1.36680910838232', '103.895756047165')"
555,"('1.36830683201861', '103.895987624672')"
556,"('1.35807253232842', '103.891946844004')"
557,"('1.36016521545473', '103.892711655243')"
558,"('1.35937034964577', '103.892587549209')"
559,"('1.37388589154893', '103.894681773728')"
560,"('1.3626577042511', '103.891921506467')"
561,"('1.35597309080357', '103.890478116124')"
562,"('1.35302664004115', '103.882887594334')"
563,"('1.34975825362257', '103.886810075583')"
564,"('1.34905321621757', '103.88664017294')"
565,"('1.36620554681345', '103.895152424666')"
566,"('1.35221025687017', '103.88016536128')"
567,"('1.37044549024151', '103.898588733978')"
568,"('1.37210569373169', '103.899099276298')"
569,"('1.36632810370351', '103.896213964527')"
570,"('1.36626989576509', '103.898029449551')"
571,"('1.35995683095297', '103.89162926387')"
572,"('1.37002545723867', '103.89857229481')"
573,"('1.36851824459992', '103.894583868849')"
574,"('1.3515974230958', '103.884260469806')"
575,"('1.35252644338434', '103.883738329606')"
576,"('1.35819557447623', '103.888783549259')"
577,"('1.35813059742215', '103.887899973852')"
578,"('1.35076271020557', '103.887548072787')"
579,"('1.36282221723956', '103.891046555478')"
580,"('1.35662141874805', '103.888857749393')"
581,"('1.35172355247142', '103.886487164914')"
582,"('1.35085299679097', '103.88632991316')"
583,"('1.35309014318502', '103.883960577847')"
584,3 TEBAN GDNS RDunavailable
585,5 TEBAN GDNS RDunavailable
586,10 TEBAN GDNS RDunavailable
587,"('1.32368064923943', '103.739156156511')"
588,"('1.32030252805209', '103.74184852426')"
589,"('1.32135037743685', '103.742031144918')"
590,"('1.35013988623409', '103.729936587391')"
591,"('1.3472950403719', '103.734573253838')"
592,"('1.33701100762294', '103.738787314099')"
593,"('1.3446878841616', '103.734466723494')"
594,"('1.34036433428736', '103.740931530094')"
595,"('1.33887088930732', '103.736218505026')"
596,"('1.34202424550408', '103.739009746539')"
597,"('1.34263187196449', '103.742133807093')"
598,"('1.34190350538593', '103.74279685963')"
599,"('1.34206406490644', '103.743306656115')"
600,"('1.34451804267549', '103.738630332612')"
601,"('1.34382869717494', '103.741654163177')"
602,"('1.34607046577403', '103.735252691468')"
603,"('1.33889493784685', '103.73855509854')"
604,"('1.33928625957387', '103.738985189412')"
605,"('1.33843639958331', '103.742666850845')"
606,"('1.33866911059386', '103.740292528065')"
607,"('1.34652151786552', '103.734843138868')"
608,"('1.34798942321199', '103.7304582035')"
609,"('1.34600652715087', '103.732079814028')"
610,"('1.33982600141552', '103.740822151959')"
611,"('1.34316585363812', '103.739676494398')"
612,"('1.31820397685545', '103.74881622665')"
613,"('1.34033241177285', '103.737928007136')"
614,"('1.34803793215272', '103.729165542694')"
615,"('1.34182066937117', '103.736087793751')"
616,"('1.3383617052828', '103.735911158508')"
617,"('1.33668715015786', '103.738059200285')"
618,"('1.34106751096494', '103.741573199896')"
619,"('1.34378634902456', '103.738635757888')"
620,"('1.33782546503407', '103.740093358961')"
621,"('1.3486489933486', '103.729868988347')"
622,"('1.35082650419629', '103.73042009299')"
623,"('1.31923420667707', '103.749654325298')"
624,"('1.32032964075934', '103.74939013157')"
625,"('1.31981661286798', '103.749283319022')"
626,"('1.318821472571', '103.74922637213')"
627,"('1.34968370533554', '103.731905666581')"
628,"('1.35021953451848', '103.732162745946')"
629,"('1.34914053686845', '103.729174020373')"
630,"('1.34839013731603', '103.728986352199')"
631,8 YUNG KUANG RDunavailable
632,10 YUNG KUANG RDunavailable
633,"('1.33388939555115', '103.723306118882')"
634,"('1.33378944321337', '103.72411125115')"
635,"('1.33529905914454', '103.724712974749')"
636,"('1.33540764836183', '103.724260953568')"
637,145 HU CHING RDunavailable
